musique intrumentale ou avec parole,support écouté,station radio,genre musicale,période musicale,langue écouté,type de parole,frequence ecouté artiste émergent,tempo,fréquence en travaillant,fréquence en sport,fréquence en cuisine,fréquence en transport,fréquence en passant le temps,fréquence écoute mensuel,fréquence écoute journalier,genre,age,environnement,situation professionnel
les deux,streaming,alouette,no preferences,années 2020;années 2010;années 2000;années 50 - 70,francophone;anglophone;brésilienne,engagées,4,120.0,5,2,4,5,4,1,1,femme,26.0,ville,salarié
les deux,streaming,skyrock;fun radio,rock;rap,années 2020;années 70 - 90,francophone;anglophone,peu importe,4,120.0,5,5,2,4,4,1,2,homme,22.0,ville,étudiant
les deux,plateforme de streaming;radio,nrj;alouette,rock;rap;pop,années 2020;années 2010;années 2000,francophone;anglophone,engagées,2,120.0,1,4,3,4,4,1,2,femme,25.0,campagne,salarié
les deux,radio;cd;dvd;vinyles,rtl;alouette,pop,aucune préférence,francophone,peu importe,2,120.0,2,4,3,4,4,1,2,homme,53.0,campagne,salarié
avec des paroles,streaming,nan,rap,2020,francophone,peu importe,2,120.0,3,1,2,5,2,1,3,homme,20.0,ville,indépendant
les deux,plateforme de streaming;cd;dvd;vinyles,nrj;nostalgie,rock;electro;classical music,ne sait pas,francophone;asiatique,peu importe,4,120.0,4,2,4,4,2,1,2,homme,20.0,je préfère ne pas répondre,étudiant
instrumentaux,plateforme de streaming;radio,rtl;nostalgie,rock;pop,années 90;années 70 - 90,anglophone,peu importe,2,120.0,2,1,1,5,5,1,1,homme,19.0,campagne,étudiant
les deux,streaming,nan,rap;electro,années 2020;années 2010,francophone;anglophone;allemande,peu importe,3,180.0,5,5,5,5,5,1,1,homme,20.0,ville,étudiant
les deux,plateforme de streaming;mon lecteur cd gulli,nrj;radio bonheur,rock;jazz;pop;electro;techno,années 2000;années 90,francophone;anglophone;xylophone,fesses ahah,2,150.0,3,2,5,5,3,1,2,je préfère ne pas répondre,69.0,banlieue,retraité
les deux,streaming,je n'écoute pas la radio,rock;rap;jazz;pop;electro;classical music,années 2000;années 90;années 70 - 90,francophone;anglophone,engagées;poétiques ou humouristiques;en fonction du moment,4,120.0,4,2,2,5,5,1,1,je préfère ne pas répondre,22.0,campagne,étudiant
avec des paroles,streaming,nan,rap;pop,ne sait pas,anglophone,engagées,2,150.0,4,1,4,5,3,1,2,homme,19.0,ville,étudiant
instrumentaux,streaming,nan,techno,années 2020;années 2000;années 90,anglophone;cyrillique;asiatique,peu importe,4,180.0,4,5,3,4,2,1,2,femme,22.0,banlieue,je préfère ne pas répondre
les deux,plateforme de streaming;radio,nrj;fun radio;europe 2,rock;pop;electro,années 2020;années 2010;années 2000;années 70 - 90,francophone;anglophone;hispanique;asiatique,peu importe,3,150.0,2,4,3,5,4,1,3,femme,24.0,campagne,sans emploi
les deux,streaming,nrj,rock;pop;electro,années 2020;années 2010;années 70 - 90,francophone;anglophone,peu importe,3,150.0,5,5,3,4,3,1,2,homme,20.0,ville,étudiant
les deux,streaming,nan,pop;no preferences,aucune préférence,francophone;anglophone,peu importe,1,120.0,1,3,1,1,2,3,3,homme,29.21212121212121,ville,salarié
les deux,plateforme de streaming;cd;dvd;vinyles,fun radio,electro,années 2020;années 2010;années 2000,francophone;anglophone;cyrillique,peu importe,5,120.0,4,5,4,5,4,1,1,femme,20.0,banlieue,étudiant
avec des paroles,streaming,nrj,rap;pop,années 2020;années 2010;années 2000;années 90,francophone,poétiques,1,120.0,5,5,5,5,3,1,1,femme,27.0,campagne,salarié
les deux,plateforme de streaming;cd;dvd;vinyles,m radio;radio bonheur;cheriefm,pop,années 2010;années 2000;années 90,francophone;anglophone,poétiques,3,120.0,3,4,4,4,4,1,2,homme,29.21212121212121,je préfère ne pas répondre,salarié
avec des paroles,plateforme de streaming;radio,nrj;fun radio;m radio,rock;pop,2020,francophone;anglophone;hispanique,peu importe,1,150.0,2,4,2,1,2,1,3,femme,52.0,campagne,salarié
les deux,streaming,nan,,années 2010;années 90,francophone;anglophone,peu importe,2,,1,1,2,1,2,4,3,homme,19.0,banlieue,étudiant
